,Date,Area,Region,Trigger,Depth,Width
1,2023-03-02,Avalanche: Squaretop,Salt Lake,,"16""",150'
2,2023-03-02,Avalanche: Bridge Canyon,Ogden,Natural,"16""",150'
3,2023-03-01,Avalanche: Rocky Point,Salt Lake,Natural,"6""",100'
4,2023-03-01,Avalanche: Beaver Creek Canyon,Logan,,"18""",50'
5,2023-03-01,Avalanche: Uintas,Uintas,Natural,,
6,2023-02-28,Avalanche: North Ridge of Logan Dry Canyon,Logan,Natural,"2""",35'
7,2023-02-28,Avalanche: Timpanogos,Provo,Natural,3',"1,000'"
8,2023-02-28,Avalanche: First Dam,Logan,Natural,"12""",70'
9,2023-02-28,Avalanche: South Ridge of Beaver Mountain,Logan,Skier,2',600'
10,2023-02-28,Avalanche: Brighton Perimeter,Salt Lake,Natural,,
11,2023-02-28,Avalanche: Hellgate,Salt Lake,Unknown,,100'
12,2023-02-27,"Avalanche: East faces, Wellsvile Range",Logan,Natural,,
13,2023-02-27,Avalanche: Cache Valley Foothills,Logan,Natural,5',80'
14,2023-02-27,Avalanche: Beaver Mountain Backcountry,Logan,Skier,"18""",20'
15,2023-02-27,Avalanche: Green Canyon Mouth,Logan,Natural,"18""",200'
16,2023-02-27,Avalanche: Ogden Foothills,Ogden,Skier,2.5',60'
17,2023-02-27,Avalanche: Ogden,Ogden,Natural,"12""",50'
18,2023-02-26,Avalanche: BBQ Bowl,Skyline,Natural,"12""",175'
19,2023-02-26,Avalanche: Cutler Ridge,Ogden,Skier,"10""",50'
20,2023-02-26,Avalanche: Mt. Raymond,Salt Lake,Unknown,3',70'
21,2023-02-26,Avalanche: Lake Mountains,Provo,Snowboarder,2',200'
22,2023-02-26,Avalanche: Browns Canyon,Uintas,Skier,2',200'
23,2023-02-25,Avalanche: Pioneer Ridge,Salt Lake,Snowboarder,"15""",60'
24,2023-02-25,Avalanche: Chalk Creek,Uintas,Natural,"12""",70'
25,2023-02-25,Avalanche: Alpine Loop,Provo,Unknown,,
26,2023-02-25,Avalanche: Phone Shot,Skyline,Snowmobiler,"12""",150'
27,2023-02-25,Avalanche: Hoyt Environs,Uintas,Natural,"12""",70'
28,2023-02-25,Avalanche: Ben Lomond Headwall,Ogden,Natural,,
29,2023-02-25,Avalanche: Alexander Basin,Salt Lake,Skier,,
30,2023-02-25,Avalanche: Yellow Jacket,Salt Lake,Skier,"12""",25'
31,2023-02-25,Avalanche: Silver Fork Headwall,Salt Lake,Skier,"12""",30'
32,2023-02-25,Avalanche: Cornice Ridge,Logan,Natural,"12""",100'
33,2023-02-25,Avalanche: Mt Nebo Loop Road,Provo,Natural,,125'
34,2023-02-25,Avalanche: Castle Rock,Logan,Snowmobiler,,125'
35,2023-02-25,Avalanche: Blue Ice,Salt Lake,Unknown,,
36,2023-02-25,Avalanche: Two Dogs,Salt Lake,Snowboarder,"12""",50'
37,2023-02-25,Avalanche: Little Cottonwood Canyon,Salt Lake,Natural,"16""",25'
38,2023-02-25,Avalanche: Old Logway and N. Hells Canyon,Logan,Natural,,
39,2023-02-25,Avalanche: Alexander Basin,Salt Lake,Natural,"18""",250'
40,2023-02-25,Avalanche: White Pine,Salt Lake,Unknown,,
41,2023-02-25,Avalanche: Logan Dry Canyon,Logan,Natural,2.5',60'
42,2023-02-25,Avalanche: Little Bear,Logan,Skier,"12""",60'
43,2023-02-25,Avalanche: Mt. Watson,Uintas,Natural,"12""",150'
44,2023-02-25,Avalanche: Rock Canyon,Provo,Natural,,25'
45,2023-02-24,Avalanche: Figure 8 Bowl,Salt Lake,Natural,2',125'
46,2023-02-24,Avalanche: Aspen Grove,Provo,Unknown,,
47,2023-02-24,Avalanche: White Pine,Salt Lake,Skier,"12""",175'
48,2023-02-24,Avalanche: Foothills,Salt Lake,Skier,"18""",125'
49,2023-02-24,Avalanche: Patsy Marly,Salt Lake,Unknown,,
50,2023-02-24,Avalanche: Toll Canyon,Salt Lake,Skier,"14""",20'
1,2023-02-24,Avalanche: Limber Pine,Salt Lake,Skier,"6""",20'
2,2023-02-24,Avalanche: Foothills,Salt Lake,Natural,"10""",
3,2023-02-24,Avalanche: West Scotties,Salt Lake,Skier,"15""",30'
4,2023-02-24,Avalanche: Cardiff Fork,Salt Lake,Unknown,2',150'
5,2023-02-23,Avalanche: Lookout Peak,Salt Lake,Natural,"18""",100'
6,2023-02-23,Avalanche: Argenta,Salt Lake,Skier,"8""",50'
7,2023-02-23,Avalanche: Little Willow Canyon,Salt Lake,Skier,"16""",150'
8,2023-02-23,Avalanche: North Ogden Divide,Ogden,Natural,,
9,2023-02-23,Avalanche: Chicken Sh#! Ridge,Salt Lake,Skier,2',50'
10,2023-02-23,Avalanche: Ben Lomond Headwall,Ogden,Natural,,
11,2023-02-23,Avalanche: Salt Lake foothills,Salt Lake,Natural,"12""",150'
12,2023-02-23,Avalanche: Chilly Peak Slabs,Ogden,Skier,,
13,2023-02-23,Avalanche: Days Fork,Salt Lake,Skier,"14""",25'
14,2023-02-23,Avalanche: Ben Lomond,Ogden,Natural,,
15,2023-02-23,Avalanche: Pine Creek,Ogden,Skier,"19""",200'
16,2023-02-23,Avalanche: Exxons Folley,Moab,Natural,2.5',70'
17,2023-02-23,Avalanche: Pioneer Ridge,Salt Lake,Snowboarder,"18""",70'
18,2023-02-23,Avalanche: Gravel Pit Lanes,Moab,Natural,,200'
19,2023-02-23,Avalanche: Ricardos,Salt Lake,Skier,2.5',60'
20,2023-02-23,Avalanche: Middle Cirque,Moab,Natural,3',70'
21,2023-02-23,Avalanche: Lucky Days,Salt Lake,Skier,"12""",50'
22,2023-02-23,Avalanche: Foothills,Salt Lake,Natural,,
23,2023-02-22,Avalanche: Garden City,Logan,Natural,2',80'
24,2023-02-22,Avalanche: Central Wood Camp Bowls,Logan,Natural,,"1,500'"
25,2023-02-22,Avalanche: Bob's Knob,Provo,Snowboarder,"5""",20'
26,2023-02-22,Avalanche: Brighton Perimeter,Salt Lake,Skier,"8""",30'
27,2023-02-22,Avalanche: South Face,Ogden,,,
28,2023-02-22,Avalanche: Parleys Canyon,Salt Lake,Skier,"14""",400'
29,2023-02-22,Avalanche: Ben Lomond,Ogden,Skier,2',150'
30,2023-02-22,Avalanche: Ben Lomond,Ogden,Skier,2',
31,2023-02-22,Avalanche: Emma Ridges,Salt Lake,Skier,2',
32,2023-02-22,Avalanche: Suicide Chute,Salt Lake,Explosive,,200'
33,2023-02-22,Avalanche: Cascade Ridge,Provo,Natural,,
34,2023-02-22,Avalanche: Eastern Slopes of Wellsville Range,Logan,Natural,2',
35,2023-02-22,Avalanche: Cascade Ridge,Provo,Natural,,
36,2023-02-22,Avalanche: Provo,Provo,Skier,"4""",15'
37,2023-02-22,Avalanche: Central Wood Camp Bowls,Logan,Natural,3',
38,2023-02-22,Avalanche: Maple Creek Canyon,Logan,Natural,,
39,2023-02-22,Avalanche: Green Canyon Mouth,Logan,Natural,"12""",70'
40,2023-02-21,Avalanche: Hells Canyon,Ogden,Skier,"6""",30'
41,2023-02-21,Avalanche: Days Fork,Salt Lake,Skier,"4""",
42,2023-02-21,Avalanche: Ogden,Ogden,Skier,"4""",100'
43,2023-02-21,Avalanche: First Dam,Logan,Natural,,80'
44,2023-02-20,Avalanche: Jaws,Salt Lake,Skier,"6""",100'
45,2023-02-20,Avalanche: Cutler Ridge,Ogden,Natural,"10""",125'
46,2023-02-20,"Avalanche: Drop in, Drop out",Logan,Natural,"18""",150'
47,2023-02-20,Avalanche: Cardiff Pass,Salt Lake,Skier,"6""",10'
48,2023-02-20,Avalanche: Foothills,Salt Lake,Snowboarder,"4""",50'
49,2023-02-19,Avalanche: Red Pine Gulch,Salt Lake,Natural,,
50,2023-02-19,Avalanche: Tuscarora,Salt Lake,Skier,"8""",15'
1,2023-02-19,Avalanche: Central Bear River Range,Logan,Skier,"7""",30'
2,2023-02-19,Avalanche: Meadows,Salt Lake,Snowboarder,"2""",20'
3,2023-02-19,Avalanche: Emigration Canyon,Salt Lake,Natural,"12""",30'
4,2023-02-15,Avalanche: Butler Fork,Salt Lake,Skier,"6""",5'
5,2023-02-15,Avalanche: Big Cottonwood Canyon,Salt Lake,,"18""",40'
6,2023-02-15,Avalanche: Coalpit 4,Salt Lake,Natural,,
7,2023-02-15,Avalanche: Bells Canyon,Salt Lake,Skier,"8""",20'
8,2023-02-15,Avalanche: Days Fork,Salt Lake,Skier,"6""",10'
9,2023-02-15,Avalanche: Neffs,Salt Lake,Skier,"10""",80'
10,2023-02-14,Avalanche: Butler Fork,Salt Lake,Skier,"2""",5'
11,2023-02-14,Avalanche: Banana Chute,Ogden,Natural,2',40'
12,2023-02-14,Avalanche: Raymond Peak,Salt Lake,Natural,,
13,2023-02-13,Avalanche: Ant Knolls,Provo,Skier,"4""",20'
14,2023-02-11,Avalanche: Little Cottonwood Canyon,Salt Lake,Natural,2',30'
15,2023-02-11,Avalanche: Logan Peak,Logan,Skier,"10""",60'
16,2023-02-10,Avalanche: Little Superior,Salt Lake,Skier,"3""",60'
17,2023-02-10,Avalanche: Session Mountains,Salt Lake,Skier,"2""",20'
18,2023-02-10,Avalanche: Scott Hill,Salt Lake,Natural,,
19,2023-02-10,Avalanche: Butler Basin,Salt Lake,Skier,"14""",40'
20,2023-02-10,Avalanche: Northern Bear River Range,Logan,Snowboarder,"8""",25'
21,2023-02-10,Avalanche: Hogum,Salt Lake,Skier,"18""",100'
22,2023-02-09,Avalanche: Tower Mountain,Uintas,Natural,2',
23,2023-02-08,"Avalanche: Mt. Magog, South Ridge",Logan,Natural,3',50'
24,2023-02-08,Avalanche: Logan Dry Canyon,Logan,Skier,"18""",70'
25,2023-02-07,Avalanche: Emma Ridges,Salt Lake,Skier,"15""",10'
26,2023-02-07,Avalanche: Main Days,Salt Lake,Skier,"14""",40'
27,2023-02-07,Avalanche: Patsy Marly,Salt Lake,Snowboarder,"12""",30'
28,2023-02-07,Avalanche: Little Superior,Salt Lake,Unknown,2',100'
29,2023-02-07,Avalanche: Superior,Salt Lake,Natural,"12""",60'
30,2023-02-07,Avalanche: Two Trees,Salt Lake,Skier,"6""",100'
31,2023-02-07,Avalanche: LSB North,Salt Lake,Skier,"16""",100'
32,2023-02-07,Avalanche: Dougs Drop,Salt Lake,Skier,"9""",50'
33,2023-02-07,Avalanche: Butler Basin,Salt Lake,Skier,"4""",35'
34,2023-02-07,Avalanche: Holy Toledo,Salt Lake,Skier,"10""",200'
35,2023-02-07,Avalanche: Circle Awl,Salt Lake,Natural,,
36,2023-02-06,Avalanche: Cinnamon Creek,Ogden,Snow Bike,"12""",100'
37,2023-02-06,Avalanche: Ben Lomond,Ogden,Skier,"10""",40'
38,2023-02-06,Avalanche: East Bowl,Salt Lake,Snowboarder,"10""",40'
39,2023-02-05,Avalanche: Willard Peak,Ogden,Skier,3',45'
40,2023-02-05,Avalanche: Oquirrh Mountains,Salt Lake,Snowboarder,"12""",30'
41,2023-02-05,Avalanche: Mount Naomi Wilderness,Logan,Natural,"14""",
42,2023-02-05,Avalanche: Triangle Couloir,Salt Lake,Natural,,
43,2023-02-04,Avalanche: Cold Fusion,Provo,Skier,"10""",25'
44,2023-02-04,Avalanche: Farmington Lakes,Ogden,Snowmobiler,"6""",25'
45,2023-02-04,Avalanche: Lambs Canyon,Salt Lake,Unknown,"12""",100'
46,2023-02-03,Avalanche: Rampage,Salt Lake,Skier,"6""",20'
47,2023-02-03,Avalanche: Snowbasin Backcountry,Ogden,Snowboarder,"14""",20'
48,2023-02-03,Avalanche: Mineral Fork,Salt Lake,Skier,"12""",5'
49,2023-02-03,Avalanche: Mineral Fork,Salt Lake,Natural,"12""",50'
50,2023-02-03,Avalanche: Mt Watson,Uintas,Natural,"16""",300'
1,2023-02-03,Avalanche: Mineral Fork,Salt Lake,Skier,"6""",50'
2,2023-02-03,Avalanche: Empire Pass,Salt Lake,Skier,"8""",30'
3,2023-02-03,Avalanche: Empire Pass,Salt Lake,Skier,"6""",30'
4,2023-02-03,Avalanche: Aspen Grove,Provo,,"8""",40'
5,2023-02-03,Avalanche: Rampage,Salt Lake,Skier,"6""",20'
6,2023-02-03,Avalanche: Snowbasin Backcountry,Ogden,Snowboarder,"14""",20'
7,2023-02-02,Avalanche: West Scotties,Salt Lake,Natural,"12""",50'
8,2023-02-02,Avalanche: Lone Peak,Salt Lake,Unknown,2',150'
9,2023-02-02,Avalanche: Chilly Peak Slabs,Ogden,Natural,,
10,2023-02-02,Avalanche: Sundance,Provo,Natural,,
11,2023-02-02,Avalanche: Reynolds Pk,Salt Lake,Unknown,"2""",100'
12,2023-02-01,Avalanche: Hellgate,Salt Lake,Natural,,
13,2023-02-01,Avalanche: Provo Peak,Provo,Natural,,
14,2023-02-01,Avalanche: Timpanogos,Provo,Natural,,
15,2023-01-31,Avalanche: Cold Fusion,Provo,Skier,"8""",20'
16,2023-01-31,Avalanche: Shingle Mill Peak,Provo,Skier,,
17,2023-01-31,Avalanche: Mt. Naomi Wilderness,Logan,Skier,,
18,2023-01-30,Avalanche: Flagstaff Ridge,Salt Lake,Skier,2',100'
19,2023-01-30,Avalanche: Superior,Salt Lake,Skier,,
20,2023-01-30,Avalanche: Soldier Fork,Salt Lake,Unknown,,25'
21,2023-01-30,Avalanche: Broads Fork,Salt Lake,Natural,4',70'
22,2023-01-30,Avalanche: Mule Hollow,Salt Lake,Natural,"20""",150'
23,2023-01-30,Avalanche: Provo,Provo,Natural,"10""",250'
24,2023-01-30,Avalanche: Blue Ice,Salt Lake,Natural,"8""",25'
25,2023-01-30,Avalanche: UFO Bowls,Provo,,,
26,2023-01-30,Avalanche: Timpanogos,Provo,Natural,,
27,2023-01-29,Avalanche: Garden City Bowls-The Gut,Logan,Unknown,,
28,2023-01-29,Avalanche: North Fork Park,Ogden,Unknown,"14""",250'
29,2023-01-29,Avalanche: Smithfield Dry Canyon,Logan,Natural,2',300'
30,2023-01-29,Avalanche: Eastern Slopes of Wellsville Range,Logan,Natural,,
31,2023-01-29,Avalanche: Salt Lake Twins,Salt Lake,Natural,"12""",250'
32,2023-01-29,Avalanche: Hodge Nibley Creek,Logan,Natural,"20""",100'
33,2023-01-29,"Avalanche: The Gut, East Face of White Pine Knob",Logan,Natural,2',150'
34,2023-01-29,Avalanche: Mt. Magog,Logan,Natural,3',"1,500'"
35,2023-01-29,Avalanche: Water Canyon,Logan,Natural,2',
36,2023-01-29,Avalanche: Garden City Bowls-The Gut,Logan,Unknown,"8""",
37,2023-01-29,Avalanche: Moonlight,Salt Lake,Natural,,20'
38,2023-01-29,Avalanche: Soldier Peak,Salt Lake,Unknown,"18""",40'
39,2023-01-29,Avalanche: Wolverine,Salt Lake,Skier,2.5',450'
40,2023-01-29,"Avalanche: Mt. Magog, South Face",Logan,Natural,2',150'
41,2023-01-29,Avalanche: Boiler Bowl,Logan,Natural,,
42,2023-01-29,Avalanche: Grizzly Gulch,Salt Lake,Skier,2',
43,2023-01-29,Avalanche: Hells Kitchen,Logan,Natural,,
44,2023-01-29,Avalanche: Rock Bowl,Logan,Natural,"12""",40'
45,2023-01-29,Avalanche: Meadows,Salt Lake,Skier,"12""",100'
46,2023-01-29,Avalanche: Ham Hollow,Logan,Natural,2.5',"1,500'"
47,2023-01-29,Avalanche: Millville Peak,Logan,Natural,,
48,2023-01-29,Avalanche: Patsy Marly,Salt Lake,Natural,,
49,2023-01-29,Avalanche: Smithfield Canyon,Logan,Natural,,
50,2023-01-29,Avalanche: Cone Head,Salt Lake,Natural,"6""",60'
1,2023-01-29,Avalanche: Hodge Nibley Creek,Logan,Natural,"20""",100'
2,2023-01-29,"Avalanche: The Gut, East Face of White Pine Knob",Logan,Natural,2',150'
3,2023-01-29,Avalanche: Mt. Magog,Logan,Natural,3',"1,500'"
4,2023-01-28,Avalanche: Lambs Canyon,Salt Lake,Skier,"18""",150'
5,2023-01-28,Avalanche: Great White Icicle,Salt Lake,Hiker,"12""",10'
6,2023-01-28,Avalanche: Three Temptations,Provo,Natural,"12""",50'
7,2023-01-28,Avalanche: Silver Lake Highway,Provo,Skier,"10""",35'
8,2023-01-28,Avalanche: Brighton Perimeter,Salt Lake,Natural,"18""",200'
9,2023-01-28,Accident: Butler Basin,Salt Lake,Skier,"18""",250'
10,2023-01-28,Avalanche: Oquirrh Mountains,Salt Lake,Snowboarder,2',400'
11,2023-01-28,Avalanche: Eeeny Meeny Miny Moe,Salt Lake,Natural,"6""",25'
12,2023-01-28,Avalanche: Moonlight,Salt Lake,Skier,"14""",70'
13,2023-01-28,Avalanche: Patsy Marly,Salt Lake,Skier,2',300'
14,2023-01-28,Avalanche: Superior,Salt Lake,Skier,"14""",40'
15,2023-01-28,Avalanche: Chutes and Ladders,Salt Lake,Skier,"16""",40'
16,2023-01-28,Avalanche: Lambs Canyon,Salt Lake,Skier,2',50'
17,2023-01-28,Avalanche: Raymond Peak,Salt Lake,Skier,"12""",100'
18,2023-01-28,Avalanche: Mt Aire,Salt Lake,Skier,2',70'
19,2023-01-28,Avalanche: Cutler Ridge,Ogden,Natural,"14""",350'
20,2023-01-28,Avalanche: Provo Peak,Provo,Skier,"14""",50'
21,2023-01-28,Avalanche: Mill Hollow,Uintas,Skier,"18""",100'
22,2023-01-28,Avalanche: Little Water,Salt Lake,Skier,"10""",200'
23,2023-01-28,Avalanche: Circle Awl,Salt Lake,Skier,"8""",125'
24,2023-01-28,Avalanche: Chilly Peak Slabs,Ogden,Skier,2',400'
25,2023-01-28,Avalanche: Main Days,Salt Lake,Skier,2',60'
26,2023-01-28,Avalanche: Porter Fork,Salt Lake,Skier,"12""",50'
27,2023-01-28,Avalanche: Bear Lake Overlook Area,Logan,Hiker,4',200'
28,2023-01-27,Avalanche: Dugway,Logan,Natural,,
29,2023-01-27,Avalanche: Cutler Ridge,Ogden,Natural,"12""",20'
30,2023-01-27,Avalanche: Bunnels,Provo,Skier,2',150'
31,2023-01-27,Avalanche: Mt Nebo Loop Road,Provo,Snowmobiler,"6""",100'
32,2023-01-27,Avalanche: Franklin Basin TH area,Logan,Skier,"8""",35'
33,2023-01-27,Avalanche: Ogden,Ogden,Skier,"12""",5'
34,2023-01-26,Avalanche: Little Superior,Salt Lake,Snowboarder,"18""",60'
35,2023-01-26,Avalanche: Provo Canyon,Provo,Natural,"15""",25'
36,2023-01-26,Avalanche: White Pine,Salt Lake,Unknown,,
37,2023-01-26,Avalanche: Thunder Ridge,Salt Lake,Skier,,
38,2023-01-25,Avalanche: Cold Water Canyon,Ogden,Unknown,3',200'
39,2023-01-25,Avalanche: Flagstaff Gully,Salt Lake,Skier,"10""",10'
40,2023-01-25,Avalanche: Brighton Perimeter,Salt Lake,Skier,"12""",25'
41,2023-01-23,Avalanche: Flagstaff Ridge,Salt Lake,Skier,"5""",15'
42,2023-01-23,Avalanche: Soucies Ridge,Logan,Natural,"12""",45'
43,2023-01-23,Avalanche: Aspen Grove,Provo,Natural,,10'
44,2023-01-23,Avalanche: Snowbasin Backcountry,Ogden,Skier,"4""",70'
45,2023-01-23,Avalanche: Alpine Loop,Provo,Natural,,
46,2023-01-22,Avalanche: Cardiac Bowl,Salt Lake,Skier,"8""",100'
47,2023-01-21,Avalanche: Long John Silver,Salt Lake,Natural,,
48,2023-01-21,Avalanche: Coalpit,Salt Lake,Skier,"12""",20'
49,2023-01-21,Avalanche: Birthday Chutes,Salt Lake,Skier,3',50'
50,2023-01-21,Avalanche: Tut Creek,Uintas,Skier,"4""",40'
1,2023-01-21,Avalanche: South Fork Lake Canyon,Skyline,Natural,"8""",250'
2,2023-01-21,"Avalanche: Mt. Magog, South Ridge",Logan,Skier,"2""",15'
3,2023-01-20,Avalanche: Hogum Hogback,Salt Lake,Snowboarder,"18""",30'
4,2023-01-20,Avalanche: Whiskey Hill,Ogden,Snowmobiler,2.5',125'
5,2023-01-18,Avalanche: Moab,Moab,Unknown,,300'
6,2023-01-18,Avalanche: Big Cottonwood Canyon,Salt Lake,Natural,"7""",5'
7,2023-01-18,Avalanche: UFO Bowls,Provo,Natural,"3""",200'
8,2023-01-17,Avalanche: Miner's Basin,Moab,Natural,4',400'
9,2023-01-17,Avalanche: Aspen Grove,Provo,Natural,,500'
10,2023-01-17,Avalanche: Brighton Perimeter,Salt Lake,Natural,"18""",
11,2023-01-16,Avalanche: Lambs Canyon,Salt Lake,Natural,"4""",20'
12,2023-01-16,Avalanche: Little Superior,Salt Lake,Skier,"6""",30'
13,2023-01-16,Avalanche: Days Fork,Salt Lake,Skier,"18""",20'
14,2023-01-16,Avalanche: Ogden Canyon,Ogden,Natural,2',20'
15,2023-01-16,"Avalanche: Tony Grove Lake, North",Logan,Snowmobiler,"6""",25'
16,2023-01-16,Avalanche: Thomas Fork,Salt Lake,Skier,"12""",50'
17,2023-01-16,Avalanche: Salt Lake foothills,Salt Lake,Natural,"6""",50'
18,2023-01-15,Avalanche: Moonlight,Salt Lake,Natural,,
19,2023-01-15,Avalanche: American Fork,Provo,Natural,"18""",300'
20,2023-01-15,Avalanche: Bonkers,Salt Lake,Natural,2',250'
21,2023-01-15,Avalanche: Toms Hill,Salt Lake,Skier,"8""",200'
22,2023-01-15,Avalanche: White Pine,Salt Lake,Skier,"4""",50'
23,2023-01-15,Avalanche: Pole Canyon,Salt Lake,Natural,"5""",20'
24,2023-01-15,Avalanche: Santaquin Canyon,Provo,Natural,,60'
25,2023-01-15,Avalanche: west porter,Salt Lake,Natural,"12""",600'
26,2023-01-15,Avalanche: Bear Trap,Salt Lake,Skier,"3""",40'
27,2023-01-15,Avalanche: Park City Ridgeline,Salt Lake,Skier,"6""",20'
28,2023-01-15,Avalanche: Mineral Fork,Salt Lake,Skier,"6""",20'
29,2023-01-15,Avalanche: Reynolds Pk,Salt Lake,Skier,"10""",30'
30,2023-01-15,Avalanche: Murdock Peak,Salt Lake,Skier,"8""",600'
31,2023-01-15,Avalanche: Memorials,Salt Lake,Skier,"8""",
32,2023-01-15,Avalanche: Sunset Peak,Salt Lake,Skier,"8""",50'
33,2023-01-15,Avalanche: Dog Lake area,Salt Lake,Snowboarder,"6""",40'
34,2023-01-15,Avalanche: Neffs,Salt Lake,Unknown,"4""",20'
35,2023-01-15,Avalanche: Timpanogos,Provo,Natural,,500'
36,2023-01-15,Avalanche: Neffs,Salt Lake,Unknown,"10""",40'
37,2023-01-15,Avalanche: Chicken Sh#! Ridge,Salt Lake,Skier,"12""",300'
38,2023-01-15,Avalanche: west porter,Salt Lake,Natural,"8""","1,000'"
39,2023-01-15,Avalanche: Grandeur,Salt Lake,Skier,"10""",50'
40,2023-01-15,Avalanche: Two Dogs,Salt Lake,Skier,"16""",150'
41,2023-01-15,Avalanche: Pink Pine,Salt Lake,Skier,"8""",50'
42,2023-01-15,Avalanche: Flagstaff Ridge,Salt Lake,Skier,"10""",50'
43,2023-01-14,Avalanche: Santaquin Canyon,Provo,Natural,,50'
44,2023-01-13,Avalanche: Grandview Peak,Salt Lake,Unknown,,
45,2023-01-12,Avalanche: Wolverine Cirque,Salt Lake,Skier,"10""",15'
46,2023-01-12,Avalanche: Kessler Peak,Salt Lake,Natural,,
47,2023-01-12,Avalanche: South Face,Ogden,Natural,3',"1,500'"
48,2023-01-12,Avalanche: Snake Creek,Salt Lake,Natural,"10""",
49,2023-01-12,Avalanche: Dam Sluff Cuts,Skyline,Explosive,4',500'
50,2023-01-12,Avalanche: Butler Trees,Salt Lake,Skier,"7""",10'
1,2023-01-12,Avalanche: Grandview Peak,Salt Lake,Unknown,6',500'
2,2023-01-12,Avalanche: Wolverine Cirque,Salt Lake,Skier,"10""",15'
3,2023-01-12,Avalanche: Kessler Peak,Salt Lake,Natural,,
4,2023-01-12,Avalanche: South Face,Ogden,Natural,3',"1,500'"
5,2023-01-12,Avalanche: Snake Creek,Salt Lake,Natural,"10""",
6,2023-01-12,Avalanche: Dam Sluff Cuts,Skyline,Explosive,4',500'
7,2023-01-11,Avalanche: Bird Canyon,Logan,Natural,,
8,2023-01-11,Avalanche: Dam Sluff Cuts,Skyline,Natural,4',400'
9,2023-01-11,Avalanche: Squaretop,Salt Lake,Natural,"13""",400'
10,2023-01-11,Avalanche: Hogum,Salt Lake,,,
11,2023-01-11,Avalanche: Burch Creek,Ogden,Natural,3',350'
12,2023-01-11,Avalanche: Thurston Peak,Ogden,Natural,,
13,2023-01-11,Avalanche: Mitton Peak,Logan,Natural,5',"2,500'"
14,2023-01-11,Avalanche: Raymond Peak,Salt Lake,Natural,"20""",
15,2023-01-11,Avalanche: Timpooneke,Provo,Natural,,
16,2023-01-11,Avalanche: Gobblers Knob,Salt Lake,Unknown,,
17,2023-01-11,Avalanche: Thurston Peak,Ogden,Natural,6',250'
18,2023-01-11,Avalanche: Providence Canyon,Logan,Snowmobiler,"20""",15'
19,2023-01-11,Avalanche: Claytons,Salt Lake,Natural,"20""",100'
20,2023-01-11,Avalanche: Eastern Slopes of Wellsville Range,Logan,Natural,,
21,2023-01-11,Avalanche: East Bowl,Salt Lake,Natural,"10""",
22,2023-01-11,"Avalanche: North Fork, Shumway Canyon",Logan,Natural,6',500'
23,2023-01-11,Avalanche: Rattlesnake Canyon,Logan,Natural,5',800'
24,2023-01-11,Avalanche: Bear Trap,Salt Lake,Natural,"12""",50'
25,2023-01-11,Avalanche: Powder Park,Salt Lake,Unknown,,
26,2023-01-11,Avalanche: South Face,Ogden,Natural,,
27,2023-01-11,Avalanche: Mineral Fork,Salt Lake,Natural,,
28,2023-01-10,Avalanche: West Willow,Salt Lake,Unknown,,
29,2023-01-10,Avalanche: Broads Fork,Salt Lake,Natural,5',
30,2023-01-10,Avalanche: West Monitor,Salt Lake,Unknown,,
31,2023-01-10,Avalanche: Sunset Peak,Salt Lake,Natural,,125'
32,2023-01-10,Avalanche: Bridalveil Falls,Provo,Natural,,
33,2023-01-10,Avalanche: Pfeifferhorn,Salt Lake,Natural,"5""",70'
34,2023-01-10,Avalanche: West Porter,Salt Lake,Natural,,
35,2023-01-10,Avalanche: Ben Lomond Headwall,Ogden,Natural,6',"5,000'"
36,2023-01-10,Avalanche: Electric Lake Bowl,Skyline,Natural,"12""",250'
37,2023-01-10,Avalanche: White Pine,Salt Lake,Unknown,,
38,2023-01-10,Avalanche: Brighton Hill,Salt Lake,Skier,"12""",300'
39,2023-01-10,Avalanche: North Wood Camp,Logan,Natural,,
40,2023-01-10,Avalanche: Wood Camp,Logan,Unknown,,
41,2023-01-09,Avalanche: River Chutes,Logan,Natural,"12""",
42,2023-01-09,Avalanche: Timpanogos,Provo,Natural,,250'
43,2023-01-09,Avalanche: Ben Lomond,Ogden,Unknown,,
44,2023-01-08,Avalanche: Argenta,Salt Lake,Unknown,"18""",
45,2023-01-08,Avalanche: Y Couloir,Salt Lake,Unknown,,
46,2023-01-08,Avalanche: Gobblers,Salt Lake,Skier,"8""",40'
47,2023-01-08,Avalanche: South Bowl (the Diamond),Logan,Skier,6',200'
48,2023-01-08,Avalanche: Tuscarora,Salt Lake,Natural,,
49,2023-01-08,Avalanche: Silver Fork Headwall,Salt Lake,Unknown,,100'
50,2023-01-08,Avalanche: Two Trees,Salt Lake,Skier,"12""",40'
1,2023-01-08,Avalanche: Two Trees,Salt Lake,Skier,"12""",40'
2,2023-01-08,Avalanche: Lake Desolation,Salt Lake,Natural,,
3,2023-01-08,Avalanche: Cardiff Fork,Salt Lake,Unknown,3',30'
4,2023-01-08,Avalanche: Argenta,Salt Lake,Snowboarder,"5""",50'
5,2023-01-08,Avalanche: Home Run,Salt Lake,Unknown,"2""",50'
6,2023-01-07,Avalanche: Bridalveil Falls,Provo,Natural,,25'
7,2023-01-07,Avalanche: Doubletop Mountain,Logan,Natural,,150'
8,2023-01-07,Avalanche: Upper Weber Canyon,Uintas,Natural,3',25'
9,2023-01-07,Avalanche: Timpanogos,Provo,Unknown,,
